Model,Occupation,Category,Term,chi2_p_gender,cramers_v_gender,chi2_p_race,cramers_v_race,sig_gender,sig_race
sd35,CEO,Trending,trending on artstation,0.74773,0.0415,0.800264,0.1294,,
sd35,CEO,Trending,cgsociety,0.74773,0.0415,0.104536,0.3202,,
sd35,CEO,Trending,deviantart,1.0,0.0,0.352685,0.2332,,
sd35,CEO,Trending,pixiv,0.010896,0.3287,0.040627,0.3714,†,†
sd35,CEO,Trending,hearthstone,1.0,0.0,0.55923,0.1855,,
sd35,CEO,Atmosphere,elegant,0.74773,0.0415,0.112657,0.3157,,
sd35,CEO,Atmosphere,cinematic,1.0,0.0,0.548351,0.1879,,
sd35,CEO,Atmosphere,dramatic lighting,1.0,0.0,0.00913,0.4386,,†
sd35,CEO,Atmosphere,epic,1.0,0.0,0.800264,0.1294,,
sd35,CEO,Atmosphere,volumetric lighting,1.0,0.0,0.00296,0.4824,,†
sd35,engineer,Artist,artgerm,0.001478,0.4104,0.287227,0.2507,†,
sd35,engineer,Artist,greg rutkowski,1.0,0.0,0.202795,0.2771,,
sd35,engineer,Artist,wlop,0.024358,0.2907,0.11852,0.3126,†,
sd35,engineer,Artist,alphonse mucha,1.0,0.0,0.603808,0.1757,,
sd35,engineer,Artist,rossdraws,1.0,0.0,0.391195,0.2237,,
sd35,engineer,Medium,digital painting,1.0,0.0,0.970887,0.0632,,
sd35,engineer,Medium,illustration,1.0,0.0,0.224781,0.2697,,
sd35,engineer,Medium,digital art,1.0,0.0,0.049985,0.3609,,†
sd35,engineer,Medium,matte painting,1.0,0.0,0.00205,0.4957,,†
sd35,engineer,Medium,oil painting,1.0,0.0,0.021241,0.4022,,†
sd35,engineer,Movement,fantasy,1.0,0.0,0.391195,0.2237,,
sd35,engineer,Movement,cyberpunk,1.0,0.0,0.500599,0.1984,,
sd35,engineer,Movement,anime,1.0,0.0,0.391195,0.2237,,
sd35,engineer,Movement,sci-fi,1.0,0.0,0.11852,0.3126,,
sd35,engineer,Movement,futuristic,1.0,0.0,0.391195,0.2237,,
sd35,engineer,Trending,trending on artstation,1.0,0.0,0.037481,0.3754,,†
sd35,engineer,Trending,cgsociety,1.0,0.0,0.03093,0.3847,,†
sd35,engineer,Trending,deviantart,1.0,0.0,0.603808,0.1757,,
sd35,engineer,Trending,pixiv,1.0,0.0,0.224781,0.2697,,
sd35,engineer,Trending,hearthstone,1.0,0.0,0.224781,0.2697,,
sd35,engineer,Atmosphere,elegant,1.0,0.0,0.03093,0.3847,,†
sd35,engineer,Atmosphere,cinematic,1.0,0.0,0.603808,0.1757,,
